"REF_DATE","GEO","DGUID","Age group","Teen pregnancy outcomes","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1998","Saskatchewan","","15 to 19 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4385029","9.1.1.1","2036","","","","0"
"1998","Saskatchewan","","15 to 19 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385030","9.1.1.2","52.8","","","","1"
"1998","Saskatchewan","","15 to 19 years","Live births","Number of events","Number","223","units ","0","v4385031","9.1.2.1","1464","","","","0"
"1998","Saskatchewan","","15 to 19 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385032","9.1.2.2","38.0","","","","1"
"1998","Saskatchewan","","15 to 19 years","Induced abortions","Number of events","Number","223","units ","0","v4385033","9.1.3.1","515","","","","0"
"1998","Saskatchewan","","15 to 19 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385034","9.1.3.2","13.4","","","","1"
"1998","Saskatchewan","","15 to 19 years","Fetal loss","Number of events","Number","223","units ","0","v4385035","9.1.4.1","57","","","","0"
"1998","Saskatchewan","","15 to 19 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385036","9.1.4.2","1.5","","","","1"
"1998","Saskatchewan","","15 to 17 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4385037","9.2.1.1","750","","","","0"
"1998","Saskatchewan","","15 to 17 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385038","9.2.1.2","32.2","","","","1"
"1998","Saskatchewan","","15 to 17 years","Live births","Number of events","Number","223","units ","0","v4385039","9.2.2.1","526","","","","0"
"1998","Saskatchewan","","15 to 17 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385040","9.2.2.2","22.6","","","","1"
"1998","Saskatchewan","","15 to 17 years","Induced abortions","Number of events","Number","223","units ","0","v4385041","9.2.3.1","198","","","","0"
"1998","Saskatchewan","","15 to 17 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385042","9.2.3.2","8.5","","","","1"
"1998","Saskatchewan","","15 to 17 years","Fetal loss","Number of events","Number","223","units ","0","v4385043","9.2.4.1","26","","","","0"
"1998","Saskatchewan","","15 to 17 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385044","9.2.4.2","1.1","","","","1"
"1998","Saskatchewan","","18 to 19 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4385045","9.3.1.1","1286","","","","0"
"1998","Saskatchewan","","18 to 19 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385046","9.3.1.2","84.4","","","","1"
"1998","Saskatchewan","","18 to 19 years","Live births","Number of events","Number","223","units ","0","v4385047","9.3.2.1","938","","","","0"
"1998","Saskatchewan","","18 to 19 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385048","9.3.2.2","61.5","","","","1"
"1998","Saskatchewan","","18 to 19 years","Induced abortions","Number of events","Number","223","units ","0","v4385049","9.3.3.1","317","","","","0"
"1998","Saskatchewan","","18 to 19 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385050","9.3.3.2","20.8","","","","1"
"1998","Saskatchewan","","18 to 19 years","Fetal loss","Number of events","Number","223","units ","0","v4385051","9.3.4.1","31","","","","0"
"1998","Saskatchewan","","18 to 19 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385052","9.3.4.2","2.0","","","","1"
"1998","Alberta","","15 to 19 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4385053","10.1.1.1","5246","","","","0"
"1998","Alberta","","15 to 19 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385054","10.1.1.2","50.9","","","","1"
"1998","Alberta","","15 to 19 years","Live births","Number of events","Number","223","units ","0","v4385055","10.1.2.1","2623","","","","0"
"1998","Alberta","","15 to 19 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385056","10.1.2.2","25.4","","","","1"
"1998","Alberta","","15 to 19 years","Induced abortions","Number of events","Number","223","units ","0","v4385057","10.1.3.1","2398","","","","0"
"1998","Alberta","","15 to 19 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385058","10.1.3.2","23.3","","r","","1"
"1998","Alberta","","15 to 19 years","Fetal loss","Number of events","Number","223","units ","0","v4385059","10.1.4.1","225","","","","0"
"1998","Alberta","","15 to 19 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385060","10.1.4.2","2.2","","","","1"
"1998","Alberta","","15 to 17 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4385061","10.2.1.1","1918","","","","0"
"1998","Alberta","","15 to 17 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385062","10.2.1.2","30.5","","","","1"
"1998","Alberta","","15 to 17 years","Live births","Number of events","Number","223","units ","0","v4385063","10.2.2.1","869","","","","0"
"1998","Alberta","","15 to 17 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385064","10.2.2.2","13.8","","","","1"
"1998","Alberta","","15 to 17 years","Induced abortions","Number of events","Number","223","units ","0","v4385065","10.2.3.1","954","","","","0"
"1998","Alberta","","15 to 17 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385066","10.2.3.2","15.2","","r","","1"
"1998","Alberta","","15 to 17 years","Fetal loss","Number of events","Number","223","units ","0","v4385067","10.2.4.1","95","","","","0"
"1998","Alberta","","15 to 17 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385068","10.2.4.2","1.5","","","","1"
"1998","Alberta","","18 to 19 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4385069","10.3.1.1","3328","","","","0"
"1998","Alberta","","18 to 19 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385070","10.3.1.2","82.6","","","","1"
"1998","Alberta","","18 to 19 years","Live births","Number of events","Number","223","units ","0","v4385071","10.3.2.1","1754","","","","0"
"1998","Alberta","","18 to 19 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385072","10.3.2.2","43.6","","","","1"
"1998","Alberta","","18 to 19 years","Induced abortions","Number of events","Number","223","units ","0","v4385073","10.3.3.1","1444","","","","0"
"1998","Alberta","","18 to 19 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385074","10.3.3.2","35.9","","r","","1"
"1998","Alberta","","18 to 19 years","Fetal loss","Number of events","Number","223","units ","0","v4385075","10.3.4.1","130","","","","0"
"1998","Alberta","","18 to 19 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385076","10.3.4.2","3.2","","","","1"
"1998","British Columbia","","15 to 19 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4385077","11.1.1.1","5000","","","","0"
"1998","British Columbia","","15 to 19 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385078","11.1.1.2","38.8","","","","1"
"1998","British Columbia","","15 to 19 years","Live births","Number of events","Number","223","units ","0","v4385079","11.1.2.1","2080","","","","0"
"1998","British Columbia","","15 to 19 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385080","11.1.2.2","16.1","","","","1"
"1998","British Columbia","","15 to 19 years","Induced abortions","Number of events","Number","223","units ","0","v4385081","11.1.3.1","2801","","","","0"
"1998","British Columbia","","15 to 19 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385082","11.1.3.2","21.7","","","","1"
"1998","British Columbia","","15 to 19 years","Fetal loss","Number of events","Number","223","units ","0","v4385083","11.1.4.1","119","","","","0"
"1998","British Columbia","","15 to 19 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385084","11.1.4.2","0.9","","","","1"
"1998","British Columbia","","15 to 17 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4385085","11.2.1.1","1561","","","","0"
"1998","British Columbia","","15 to 17 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385086","11.2.1.2","20.2","","","","1"
"1998","British Columbia","","15 to 17 years","Live births","Number of events","Number","223","units ","0","v4385087","11.2.2.1","719","","","","0"
"1998","British Columbia","","15 to 17 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385088","11.2.2.2","9.3","","","","1"
"1998","British Columbia","","15 to 17 years","Induced abortions","Number of events","Number","223","units ","0","v4385089","11.2.3.1","788","","","","0"
"1998","British Columbia","","15 to 17 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385090","11.2.3.2","10.2","","","","1"
"1998","British Columbia","","15 to 17 years","Fetal loss","Number of events","Number","223","units ","0","v4385091","11.2.4.1","54","","","","0"
"1998","British Columbia","","15 to 17 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385092","11.2.4.2","0.7","","","","1"
"1998","British Columbia","","18 to 19 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4385093","11.3.1.1","3439","","","","0"
"1998","British Columbia","","18 to 19 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385094","11.3.1.2","66.6","","","","1"
"1998","British Columbia","","18 to 19 years","Live births","Number of events","Number","223","units ","0","v4385095","11.3.2.1","1361","","","","0"
"1998","British Columbia","","18 to 19 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385096","11.3.2.2","26.4","","","","1"
"1998","British Columbia","","18 to 19 years","Induced abortions","Number of events","Number","223","units ","0","v4385097","11.3.3.1","2013","","","","0"
"1998","British Columbia","","18 to 19 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385098","11.3.3.2","39.0","","","","1"
"1998","British Columbia","","18 to 19 years","Fetal loss","Number of events","Number","223","units ","0","v4385099","11.3.4.1","65","","","","0"
"1998","British Columbia","","18 to 19 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385100","11.3.4.2","1.3","","","","1"
"1998","Yukon","","15 to 19 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4385101","12.1.1.1","61","","","","0"
"1998","Yukon","","15 to 19 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385102","12.1.1.2","58.3","","","","1"
"1998","Yukon","","15 to 19 years","Live births","Number of events","Number","223","units ","0","v4385103","12.1.2.1","30","","","","0"
"1998","Yukon","","15 to 19 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385104","12.1.2.2","28.7","","","","1"
"1998","Yukon","","15 to 19 years","Induced abortions","Number of events","Number","223","units ","0","v4385105","12.1.3.1","31","","","","0"
"1998","Yukon","","15 to 19 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385106","12.1.3.2","29.6","","","","1"
"1998","Yukon","","15 to 19 years","Fetal loss","Number of events","Number","223","units ","0","v4385107","12.1.4.1","0","","","","0"
"1998","Yukon","","15 to 19 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385108","12.1.4.2","0.0","","","","1"
"1998","Yukon","","15 to 17 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4385109","12.2.1.1","21","","","","0"
"1998","Yukon","","15 to 17 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385110","12.2.1.2","31.2","","","","1"
"1998","Yukon","","15 to 17 years","Live births","Number of events","Number","223","units ","0","v4385111","12.2.2.1","10","","","","0"
"1998","Yukon","","15 to 17 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385112","12.2.2.2","14.8","","","","1"
"1998","Yukon","","15 to 17 years","Induced abortions","Number of events","Number","223","units ","0","v4385113","12.2.3.1","11","","","","0"
"1998","Yukon","","15 to 17 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385114","12.2.3.2","16.3","","","","1"
"1998","Yukon","","15 to 17 years","Fetal loss","Number of events","Number","223","units ","0","v4385115","12.2.4.1","0","","","","0"
"1998","Yukon","","15 to 17 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385116","12.2.4.2","0.0","","","","1"
"1998","Yukon","","18 to 19 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4385117","12.3.1.1","40","","","","0"
"1998","Yukon","","18 to 19 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385118","12.3.1.2","107.2","","","","1"
"1998","Yukon","","18 to 19 years","Live births","Number of events","Number","223","units ","0","v4385119","12.3.2.1","20","","","","0"
"1998","Yukon","","18 to 19 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385120","12.3.2.2","53.6","","","","1"
"1998","Yukon","","18 to 19 years","Induced abortions","Number of events","Number","223","units ","0","v4385121","12.3.3.1","20","","","","0"
"1998","Yukon","","18 to 19 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385122","12.3.3.2","53.6","","","","1"
"1998","Yukon","","18 to 19 years","Fetal loss","Number of events","Number","223","units ","0","v4385123","12.3.4.1","0","","","","0"
"1998","Yukon","","18 to 19 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385124","12.3.4.2","0.0","","","","1"
"1998","Northwest Territories including Nunavut","","15 to 19 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4385125","13.1.1.1","315","","","t","0"
"1998","Northwest Territories including Nunavut","","15 to 19 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385126","13.1.1.2","117.0","","","t","1"
"1998","Northwest Territories including Nunavut","","15 to 19 years","Live births","Number of events","Number","223","units ","0","v4385127","13.1.2.1","243","","","t","0"
"1998","Northwest Territories including Nunavut","","15 to 19 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385128","13.1.2.2","90.3","","","t","1"
"1998","Northwest Territories including Nunavut","","15 to 19 years","Induced abortions","Number of events","Number","223","units ","0","v4385129","13.1.3.1","67","","","t","0"
"1998","Northwest Territories including Nunavut","","15 to 19 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385130","13.1.3.2","24.9","","","t","1"
"1998","Northwest Territories including Nunavut","","15 to 19 years","Fetal loss","Number of events","Number","223","units ","0","v4385131","13.1.4.1","5","","","t","0"
"1998","Northwest Territories including Nunavut","","15 to 19 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385132","13.1.4.2","1.9","","","t","1"
"1998","Northwest Territories including Nunavut","","15 to 17 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4385133","13.2.1.1","132","","","t","0"
"1998","Northwest Territories including Nunavut","","15 to 17 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385134","13.2.1.2","83.7","","","t","1"
"1998","Northwest Territories including Nunavut","","15 to 17 years","Live births","Number of events","Number","223","units ","0","v4385135","13.2.2.1","100","","","t","0"
"1998","Northwest Territories including Nunavut","","15 to 17 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385136","13.2.2.2","63.4","","","t","1"
"1998","Northwest Territories including Nunavut","","15 to 17 years","Induced abortions","Number of events","Number","223","units ","0","v4385137","13.2.3.1","30","","","t","0"
"1998","Northwest Territories including Nunavut","","15 to 17 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385138","13.2.3.2","19.0","","","t","1"
"1998","Northwest Territories including Nunavut","","15 to 17 years","Fetal loss","Number of events","Number","223","units ","0","v4385139","13.2.4.1","2","","","t","0"
"1998","Northwest Territories including Nunavut","","15 to 17 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385140","13.2.4.2","1.3","","","t","1"
"1998","Northwest Territories including Nunavut","","18 to 19 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4385141","13.3.1.1","183","","","t","0"
"1998","Northwest Territories including Nunavut","","18 to 19 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385142","13.3.1.2","164.3","","","t","1"
"1998","Northwest Territories including Nunavut","","18 to 19 years","Live births","Number of events","Number","223","units ","0","v4385143","13.3.2.1","143","","","t","0"
"1998","Northwest Territories including Nunavut","","18 to 19 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385144","13.3.2.2","128.4","","","t","1"
"1998","Northwest Territories including Nunavut","","18 to 19 years","Induced abortions","Number of events","Number","223","units ","0","v4385145","13.3.3.1","37","","","t","0"
"1998","Northwest Territories including Nunavut","","18 to 19 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385146","13.3.3.2","33.2","","","t","1"
"1998","Northwest Territories including Nunavut","","18 to 19 years","Fetal loss","Number of events","Number","223","units ","0","v4385147","13.3.4.1","3","","","t","0"
"1998","Northwest Territories including Nunavut","","18 to 19 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4385148","13.3.4.2","2.7","","","t","1"
"1999","Canada","","15 to 19 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4384837","1.1.1.1","40370","","","","0"
"1999","Canada","","15 to 19 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384838","1.1.1.2","40.2","","","","1"
"1999","Canada","","15 to 19 years","Live births","Number of events","Number","223","units ","0","v4384839","1.1.2.1","18805","","","","0"
"1999","Canada","","15 to 19 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384840","1.1.2.2","18.7","","","","1"
"1999","Canada","","15 to 19 years","Induced abortions","Number of events","Number","223","units ","0","v4384841","1.1.3.1","20610","","","","0"
"1999","Canada","","15 to 19 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384842","1.1.3.2","20.5","","","","1"
"1999","Canada","","15 to 19 years","Fetal loss","Number of events","Number","223","units ","0","v4384843","1.1.4.1","955","","","","0"
"1999","Canada","","15 to 19 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384844","1.1.4.2","1.0","","","","1"
"1999","Canada","","15 to 17 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4384845","1.2.1.1","13591","","","","0"
"1999","Canada","","15 to 17 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384846","1.2.1.2","22.7","","","","1"
"1999","Canada","","15 to 17 years","Live births","Number of events","Number","223","units ","0","v4384847","1.2.2.1","5986","","","","0"
"1999","Canada","","15 to 17 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384848","1.2.2.2","10.0","","","","1"
"1999","Canada","","15 to 17 years","Induced abortions","Number of events","Number","223","units ","0","v4384849","1.2.3.1","7253","","","","0"
"1999","Canada","","15 to 17 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384850","1.2.3.2","12.1","","","","1"
"1999","Canada","","15 to 17 years","Fetal loss","Number of events","Number","223","units ","0","v4384851","1.2.4.1","352","","","","0"
"1999","Canada","","15 to 17 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384852","1.2.4.2","0.6","","","","1"
"1999","Canada","","18 to 19 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4384853","1.3.1.1","26779","","","","0"
"1999","Canada","","18 to 19 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384854","1.3.1.2","65.9","","","","1"
"1999","Canada","","18 to 19 years","Live births","Number of events","Number","223","units ","0","v4384855","1.3.2.1","12819","","","","0"
"1999","Canada","","18 to 19 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384856","1.3.2.2","31.6","","","","1"
"1999","Canada","","18 to 19 years","Induced abortions","Number of events","Number","223","units ","0","v4384857","1.3.3.1","13357","","","","0"
"1999","Canada","","18 to 19 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384858","1.3.3.2","32.9","","","","1"
"1999","Canada","","18 to 19 years","Fetal loss","Number of events","Number","223","units ","0","v4384859","1.3.4.1","603","","","","0"
"1999","Canada","","18 to 19 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384860","1.3.4.2","1.5","","","","1"
"1999","Newfoundland and Labrador","","15 to 19 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4384861","2.1.1.1","606","","","","0"
"1999","Newfoundland and Labrador","","15 to 19 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384862","2.1.1.2","29.5","","","","1"
"1999","Newfoundland and Labrador","","15 to 19 years","Live births","Number of events","Number","223","units ","0","v4384863","2.1.2.1","414","","","","0"
"1999","Newfoundland and Labrador","","15 to 19 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384864","2.1.2.2","20.1","","","","1"
"1999","Newfoundland and Labrador","","15 to 19 years","Induced abortions","Number of events","Number","223","units ","0","v4384865","2.1.3.1","160","","","","0"
"1999","Newfoundland and Labrador","","15 to 19 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384866","2.1.3.2","7.8","","","","1"
"1999","Newfoundland and Labrador","","15 to 19 years","Fetal loss","Number of events","Number","223","units ","0","v4384867","2.1.4.1","32","","","","0"
"1999","Newfoundland and Labrador","","15 to 19 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384868","2.1.4.2","1.6","","","","1"
"1999","Newfoundland and Labrador","","15 to 17 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4384869","2.2.1.1","244","","","","0"
"1999","Newfoundland and Labrador","","15 to 17 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384870","2.2.1.2","20.0","","","","1"
"1999","Newfoundland and Labrador","","15 to 17 years","Live births","Number of events","Number","223","units ","0","v4384871","2.2.2.1","140","","","","0"
"1999","Newfoundland and Labrador","","15 to 17 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384872","2.2.2.2","11.5","","","","1"
"1999","Newfoundland and Labrador","","15 to 17 years","Induced abortions","Number of events","Number","223","units ","0","v4384873","2.2.3.1","89","","","","0"
"1999","Newfoundland and Labrador","","15 to 17 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384874","2.2.3.2","7.3","","","","1"
"1999","Newfoundland and Labrador","","15 to 17 years","Fetal loss","Number of events","Number","223","units ","0","v4384875","2.2.4.1","15","","","","0"
"1999","Newfoundland and Labrador","","15 to 17 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384876","2.2.4.2","1.2","","","","1"
"1999","Newfoundland and Labrador","","18 to 19 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4384877","2.3.1.1","362","","","","0"
"1999","Newfoundland and Labrador","","18 to 19 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384878","2.3.1.2","43.4","","","","1"
"1999","Newfoundland and Labrador","","18 to 19 years","Live births","Number of events","Number","223","units ","0","v4384879","2.3.2.1","274","","","","0"
"1999","Newfoundland and Labrador","","18 to 19 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384880","2.3.2.2","32.8","","","","1"
"1999","Newfoundland and Labrador","","18 to 19 years","Induced abortions","Number of events","Number","223","units ","0","v4384881","2.3.3.1","71","","","","0"
"1999","Newfoundland and Labrador","","18 to 19 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384882","2.3.3.2","8.5","","","","1"
"1999","Newfoundland and Labrador","","18 to 19 years","Fetal loss","Number of events","Number","223","units ","0","v4384883","2.3.4.1","17","","","","0"
"1999","Newfoundland and Labrador","","18 to 19 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384884","2.3.4.2","2.0","","","","1"
"1999","Prince Edward Island","","15 to 19 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4384885","3.1.1.1","148","","","","0"
"1999","Prince Edward Island","","15 to 19 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384886","3.1.1.2","29.6","","","","1"
"1999","Prince Edward Island","","15 to 19 years","Live births","Number of events","Number","223","units ","0","v4384887","3.1.2.1","112","","","","0"
"1999","Prince Edward Island","","15 to 19 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384888","3.1.2.2","22.4","","","","1"
"1999","Prince Edward Island","","15 to 19 years","Induced abortions","Number of events","Number","223","units ","0","v4384889","3.1.3.1","29","","","","0"
"1999","Prince Edward Island","","15 to 19 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384890","3.1.3.2","5.8","","","","1"
"1999","Prince Edward Island","","15 to 19 years","Fetal loss","Number of events","Number","223","units ","0","v4384891","3.1.4.1","7","","","","0"
"1999","Prince Edward Island","","15 to 19 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384892","3.1.4.2","1.4","","","","1"
"1999","Prince Edward Island","","15 to 17 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4384893","3.2.1.1","50","","","","0"
"1999","Prince Edward Island","","15 to 17 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384894","3.2.1.2","16.1","","","","1"
"1999","Prince Edward Island","","15 to 17 years","Live births","Number of events","Number","223","units ","0","v4384895","3.2.2.1","36","","","","0"
"1999","Prince Edward Island","","15 to 17 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384896","3.2.2.2","11.6","","","","1"
"1999","Prince Edward Island","","15 to 17 years","Induced abortions","Number of events","Number","223","units ","0","v4384897","3.2.3.1","10","","","","0"
"1999","Prince Edward Island","","15 to 17 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384898","3.2.3.2","3.2","","","","1"
"1999","Prince Edward Island","","15 to 17 years","Fetal loss","Number of events","Number","223","units ","0","v4384899","3.2.4.1","4","","","","0"
"1999","Prince Edward Island","","15 to 17 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384900","3.2.4.2","1.3","","","","1"
"1999","Prince Edward Island","","18 to 19 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4384901","3.3.1.1","98","","","","0"
"1999","Prince Edward Island","","18 to 19 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384902","3.3.1.2","51.6","","","","1"
"1999","Prince Edward Island","","18 to 19 years","Live births","Number of events","Number","223","units ","0","v4384903","3.3.2.1","76","","","","0"
"1999","Prince Edward Island","","18 to 19 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384904","3.3.2.2","40.0","","","","1"
"1999","Prince Edward Island","","18 to 19 years","Induced abortions","Number of events","Number","223","units ","0","v4384905","3.3.3.1","19","","","","0"
"1999","Prince Edward Island","","18 to 19 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384906","3.3.3.2","10.0","","","","1"
"1999","Prince Edward Island","","18 to 19 years","Fetal loss","Number of events","Number","223","units ","0","v4384907","3.3.4.1","3","","","","0"
